Rank,Handle,Codeforces_Handle,Codeforces_Rating,GFG_Handle,GFG_Contest_Score,GFG_Practice_Score,Leetcode_Handle,Leetcode_Rating,Codechef_Handle,Codechef_Rating,HackerRank_Handle,HackerRank_Practice_Score,Percentile
1,21r01a0513,cmrit_21r01a0513,950,21r01a0513,433,150,21r01a0513,1502,vishwatej4,1423,21r01a0513,117,66.88%
2,21r01a0561,cmrit25__21r01a0561,885,21r01a0561,445,113,21r01a0561,1540,pavanvasam577,1418,21r01a0561,165,65.8%
3,21r01a66e5,cmrit25_21r01a66e5,870,21r01a66e5,288,145,21r01a66e5,1455,deepak216,1373,21r01a66e5,790,63.01%
4,21r01a0520,21r01a0520,590,21r01a0520,550,14,21r01a0520,1671,premsai20,1381,21r01a0520,15,61.68%
5,21r01a67f2,cmrit25_21r01a67f2,956,21r01a67f2,311,0,21r01a67f2,1613,sribro123,1451,21r01a67f2,571,61.44%
6,21r01a7362,cmrit25_21r01a7362,556,21r01a7362,395,365,narayansharma09,1229,narayansharma,1472,21r01a7362,5,59.96%
7,21r01a05c0,cmrit25_21r01a05c0,993,21r01a05c0,319,104,21r01a05c0,1404,tanirukavyasri,1293,21r01a05c0,204,59.74%
8,21r01a66e0,cmrit25_21r01a66e0,839,21r01a66e0,228,241,21r01a66e0,1263,prashanth50,1092,21r01a66e0,714,58.07%
9,21r01a7238,cmrit25_21r01a7238,1016,kjcreddy666,62,13,kjcreddy666,1445,jai_21r01a7238,1592,21r01a7238,1041,53.88%
10,21r01a05r3,cmrit25_21r01a05r3,917,21r01a05r3,215,33,21r01a05r3,1485,bhanuprakash75,1416,21r01a05r3,369,53.36%
11,21r01a66c7,cmrit25_21r01a66c7,917,21r01a66c7,192,37,21r01a66c7,1277,deepikachowdar,1355,21r01a66c7,477,51.62%
12,21r01a05f9,cmrit25_21r01a05f9,951,sanjana_54,208,40,sanjana_54,1386,sanjana_54,1372,21r01a05f9,123,50.66%
13,21r01a66h1,cmrit25_21r01a66h1,981,moturiadithyasai,156,39,cmr_21r01a66h1,1449,adithya_09,1375,21r01a66h1,231,49.86%
14,21r01a0531,cmrit25_21r01a0531,865,21r01a0531,219,4,21r01a0531,1444,meg_21r01a0531,1319,21r01a0531,207,49.27%
15,22r05a0505,cmrit25_22r05a0505,913,cmrit_22r05a0505,206,16,22r05a0505,1485,praveen784,1336,22r05a0505,85,49.09%
16,21r01a0524,21r01a0524,867,21r01a0524,118,278,21r01a0524,1516,akshaya_42,1094,21r01a0524,45,48.77%
17,21r01a7345,cmrit25_21r01a7345,1130,cmr_21r01a7345,120,23,cmr_21r01a7345,1533,cmr_21r01a7345,1111,21r01a7345,71,47.92%
18,21r01a6632,cmrit25_21r01a6632,864,21r016632,172,0,21r01a6632,1293,manishkumar_11,1157,21r01a6632,436,46.85%
19,22r05a0503,22r05a0503,1005,22r05a0503,125,38,22r05a0503,1568,s22r05a0503,1050,22r05a0503,166,46.7%
20,21r01a67e6,cmrit25_21r01a67e6,980,21r01a67e6,0,6,21r01a67e6,1557,r_21r01a67e6,1399,21r01a67e6,796,46.65%
21,21r01a6775,cmrit25_21r01a6775,948,21r01a6775,136,0,21r01a6775,1401,cmr_21r016775,1495,21r01a6775,97,46.18%
22,21r01a05h2,cmrit25_21r01a05h2,905,21r01aymik,169,0,21r01a05h2,1400,cmr_21r01a05h2,1427,rakeshpadamatin1,30,45.99%
23,21r01a66a1,cmrit25_21r01a66a1,867,21r01aspay,163,2,cmr_21r01a66a1,1454,cmr_21r01a66a1,1368,21r01a66a1,139,45.92%
24,22r05a7302,22r05a7302,840,22r05a7302,78,180,22r05a7302,1464,charanteja45,1358,22r05a7302,169,45.87%
25,21r01a05k8,cmrit25_21r01a05k8,819,21r01a05k8,187,16,21r01a05k8,1363,srujan_20,1440,21r01a05k8,40,45.55%
26,21r01a66a8,cmrit25_21r01a66a8,869,21r01a3yvp,129,51,raju_9,1478,raju_2003,1327,21r01a66a8,142,45.36%
27,21r01a67h9,cmrit25_21r01a67h9,850,21r01a67h9,119,0,21r01a67h9,1589,manaswini18,1289,21r01a67h9,338,45.33%
